month,actual_sales,forecast_sales,ci_lower,ci_upper,run_type
2015-01-01,,338247.7463150068,252929.6333140913,423565.8593159223,future
2015-02-01,,284715.0162841275,186506.40797306033,382923.62459519465,future
2015-03-01,,350395.56491449365,247525.59361349634,453265.53621549095,future
2015-04-01,,329966.7914545948,224820.97249500215,435112.6104141875,future
2015-05-01,,381991.1312596718,275414.5020222832,488567.76049706043,future
2015-06-01,,495032.29970212723,387367.9159583822,602696.6834458723,future
